1860 Munich,Kaiserslautern,https://fbref.com/en/matches/1b0bfa42/1860-Munich-Kaiserslautern-October-14-2000-Bundesliga
Energie Cottbus,Bayern Munich,https://fbref.com/en/matches/784c9d06/Energie-Cottbus-Bayern-Munich-October-14-2000-Bundesliga
Schalke 04,Eint Frankfurt,https://fbref.com/en/matches/9bec1b0b/Schalke-04-Eintracht-Frankfurt-October-14-2000-Bundesliga
Unterhaching,Wolfsburg,https://fbref.com/en/matches/bcdfb9d1/Unterhaching-Wolfsburg-October-15-2000-Bundesliga
Hansa Rostock,Hertha BSC,https://fbref.com/en/matches/3772adaf/Hansa-Rostock-Hertha-BSC-October-15-2000-Bundesliga
Kaiserslautern,Werder Bremen,https://fbref.com/en/matches/ff8a96cf/Kaiserslautern-Werder-Bremen-October-20-2000-Bundesliga
Leverkusen,Dortmund,https://fbref.com/en/matches/a33cb54d/Bayer-Leverkusen-Dortmund-October-21-2000-Bundesliga
Hertha BSC,Energie Cottbus,https://fbref.com/en/matches/8d9c88b2/Hertha-BSC-Energie-Cottbus-October-21-2000-Bundesliga
Hamburger SV,Eint Frankfurt,https://fbref.com/en/matches/58ebbbd5/Hamburger-SV-Eintracht-Frankfurt-October-21-2000-Bundesliga
Bayern Munich,1860 Munich,https://fbref.com/en/matches/e2e0937c/Bayern-Munich-1860-Munich-October-21-2000-Bundesliga
Stuttgart,Unterhaching,https://fbref.com/en/matches/5cb27834/Stuttgart-Unterhaching-October-21-2000-Bundesliga
Wolfsburg,Köln,https://fbref.com/en/matches/9f003652/Wolfsburg-Koln-October-21-2000-Bundesliga
Freiburg,Schalke 04,https://fbref.com/en/matches/35675075/Freiburg-Schalke-04-October-22-2000-Bundesliga
Bochum,Hansa Rostock,https://fbref.com/en/matches/5ba6d297/Bochum-Hansa-Rostock-October-22-2000-Bundesliga
Energie Cottbus,Bochum,https://fbref.com/en/matches/80221ed6/Energie-Cottbus-Bochum-October-27-2000-Bundesliga
Schalke 04,Leverkusen,https://fbref.com/en/matches/e0f9c56b/Schalke-04-Bayer-Leverkusen-October-28-2000-Bundesliga
Unterhaching,Hamburger SV,https://fbref.com/en/matches/1ca7a70e/Unterhaching-Hamburger-SV-October-28-2000-Bundesliga
Dortmund,Kaiserslautern,https://fbref.com/en/matches/71481718/Dortmund-Kaiserslautern-October-28-2000-Bundesliga
Werder Bremen,Bayern Munich,https://fbref.com/en/matches/46e1c397/Werder-Bremen-Bayern-Munich-October-28-2000-Bundesliga
Hansa Rostock,Wolfsburg,https://fbref.com/en/matches/ab8191bb/Hansa-Rostock-Wolfsburg-October-28-2000-Bundesliga
Eint Frankfurt,Freiburg,https://fbref.com/en/matches/6b39fdf5/Eintracht-Frankfurt-Freiburg-October-28-2000-Bundesliga
1860 Munich,Hertha BSC,https://fbref.com/en/matches/fc7efc16/1860-Munich-Hertha-BSC-October-29-2000-Bundesliga
Köln,Stuttgart,https://fbref.com/en/matches/b795a7e0/Koln-Stuttgart-October-29-2000-Bundesliga
Leverkusen,Eint Frankfurt,https://fbref.com/en/matches/8fcbf134/Bayer-Leverkusen-Eintracht-Frankfurt-November-3-2000-Bundesliga
Hamburger SV,Freiburg,https://fbref.com/en/matches/77853c3d/Hamburger-SV-Freiburg-November-4-2000-Bundesliga
Stuttgart,Hansa Rostock,https://fbref.com/en/matches/18841d56/Stuttgart-Hansa-Rostock-November-4-2000-Bundesliga
Bochum,1860 Munich,https://fbref.com/en/matches/0b24ea29/Bochum-1860-Munich-November-4-2000-Bundesliga
Kaiserslautern,Schalke 04,https://fbref.com/en/matches/d9ed5eee/Kaiserslautern-Schalke-04-November-4-2000-Bundesliga
Hertha BSC,Werder Bremen,https://fbref.com/en/matches/1f5eedd6/Hertha-BSC-Werder-Bremen-November-4-2000-Bundesliga
Bayern Munich,Dortmund,https://fbref.com/en/matches/74e50d80/Bayern-Munich-Dortmund-November-4-2000-Bundesliga
Unterhaching,Köln,https://fbref.com/en/matches/d75df834/Unterhaching-Koln-November-5-2000-Bundesliga
Wolfsburg,Energie Cottbus,https://fbref.com/en/matches/f5477733/Wolfsburg-Energie-Cottbus-November-5-2000-Bundesliga
Dortmund,Hertha BSC,https://fbref.com/en/matches/6ac17c22/Dortmund-Hertha-BSC-November-10-2000-Bundesliga
1860 Munich,Wolfsburg,https://fbref.com/en/matches/d1435268/1860-Munich-Wolfsburg-November-11-2000-Bundesliga
Werder Bremen,Bochum,https://fbref.com/en/matches/14054601/Werder-Bremen-Bochum-November-11-2000-Bundesliga
Schalke 04,Bayern Munich,https://fbref.com/en/matches/70ba54a7/Schalke-04-Bayern-Munich-November-11-2000-Bundesliga
Freiburg,Leverkusen,https://fbref.com/en/matches/7f3e6274/Freiburg-Bayer-Leverkusen-November-11-2000-Bundesliga
Köln,Hamburger SV,https://fbref.com/en/matches/ce29292f/Koln-Hamburger-SV-November-11-2000-Bundesliga
Hansa Rostock,Unterhaching,https://fbref.com/en/matches/aa91b83a/Hansa-Rostock-Unterhaching-November-11-2000-Bundesliga
Energie Cottbus,Stuttgart,https://fbref.com/en/matches/cf440d97/Energie-Cottbus-Stuttgart-November-12-2000-Bundesliga
Eint Frankfurt,Kaiserslautern,https://fbref.com/en/matches/eb043e25/Eintracht-Frankfurt-Kaiserslautern-November-12-2000-Bundesliga
Stuttgart,1860 Munich,https://fbref.com/en/matches/88aea2fb/Stuttgart-1860-Munich-November-17-2000-Bundesliga
Kaiserslautern,Freiburg,https://fbref.com/en/matches/ef4f0cbf/Kaiserslautern-Freiburg-November-18-2000-Bundesliga
Hertha BSC,Schalke 04,https://fbref.com/en/matches/981d8c32/Hertha-BSC-Schalke-04-November-18-2000-Bundesliga
Wolfsburg,Werder Bremen,https://fbref.com/en/matches/bac4f041/Wolfsburg-Werder-Bremen-November-18-2000-Bundesliga
Bayern Munich,Eint Frankfurt,https://fbref.com/en/matches/b054cabe/Bayern-Munich-Eintracht-Frankfurt-November-18-2000-Bundesliga
Hamburger SV,Leverkusen,https://fbref.com/en/matches/b06a948b/Hamburger-SV-Bayer-Leverkusen-November-18-2000-Bundesliga
Köln,Hansa Rostock,https://fbref.com/en/matches/0dd582df/Koln-Hansa-Rostock-November-18-2000-Bundesliga
Unterhaching,Energie Cottbus,https://fbref.com/en/matches/2a49c079/Unterhaching-Energie-Cottbus-November-19-2000-Bundesliga
Bochum,Dortmund,https://fbref.com/en/matches/a625f844/Bochum-Dortmund-November-19-2000-Bundesliga
Schalke 04,Bochum,https://fbref.com/en/matches/8f590cc7/Schalke-04-Bochum-November-24-2000-Bundesliga
Eint Frankfurt,Hertha BSC,https://fbref.com/en/matches/0c516ff3/Eintracht-Frankfurt-Hertha-BSC-November-25-2000-Bundesliga
Freiburg,Bayern Munich,https://fbref.com/en/matches/d4a65e2b/Freiburg-Bayern-Munich-November-25-2000-Bundesliga
Dortmund,Wolfsburg,https://fbref.com/en/matches/64183948/Dortmund-Wolfsburg-November-25-2000-Bundesliga
Hansa Rostock,Hamburger SV,https://fbref.com/en/matches/4ceebbd0/Hansa-Rostock-Hamburger-SV-November-25-2000-Bundesliga
Energie Cottbus,Köln,https://fbref.com/en/matches/c649434e/Energie-Cottbus-Koln-November-25-2000-Bundesliga
Leverkusen,Kaiserslautern,https://fbref.com/en/matches/260b3726/Bayer-Leverkusen-Kaiserslautern-November-26-2000-Bundesliga
1860 Munich,Unterhaching,https://fbref.com/en/matches/3612f5d8/1860-Munich-Unterhaching-November-26-2000-Bundesliga
Werder Bremen,Stuttgart,https://fbref.com/en/matches/f9d7b737/Werder-Bremen-Stuttgart-November-26-2000-Bundesliga
Hertha BSC,Freiburg,https://fbref.com/en/matches/67c1a9ba/Hertha-BSC-Freiburg-December-2-2000-Bundesliga
Bayern Munich,Leverkusen,https://fbref.com/en/matches/05097d52/Bayern-Munich-Bayer-Leverkusen-December-2-2000-Bundesliga
Köln,1860 Munich,https://fbref.com/en/matches/7184ced3/Koln-1860-Munich-December-2-2000-Bundesliga
